english,french
Hello,Bonjour
How are you?,Comment ça va?
Good morning,Bon matin
Good night,Bonne nuit
Thank you,Merci
Please,S'il vous plaît
Yes,Oui
No,Non
Welcome,Bienvenue
Goodbye,Au revoir
See you later,À plus tard
I love you,Je t'aime
What is your name?,Comment t'appelles-tu?
My name is John,Je m'appelle John
Where are you from?,D'où viens-tu?
I am fine,Je vais bien
I am happy,Je suis heureux
I am sad,Je suis triste
What time is it?,Quelle heure est-il?
Can you help me?,Peux-tu m'aider?
I need a doctor,J'ai besoin d'un docteur
How much does this cost?,Combien ça coûte?
Do you speak English?,Parles-tu anglais?
I do not understand,Je ne comprends pas
Could you repeat that?,Peux-tu répéter?
I am lost,Je suis perdu
I am hungry,J'ai faim
I am thirsty,J'ai soif
I am tired,Je suis fatigué
I am busy,Je suis occupé
What do you do?,Que fais-tu?
I work at a bank,Je travaille dans une banque
I am a student,Je suis étudiant
I like to read,J'aime lire
I like to travel,J'aime voyager
What is your favorite food?,Quel est ton plat préféré?
I like pizza,J'aime la pizza
I love chocolate,J'adore le chocolat
I prefer tea over coffee,Je préfère le thé au café
I enjoy music,J'aime la musique
What is your hobby?,Quel est ton passe-temps?
I like painting,J'aime peindre
I like swimming,J'aime nager
What is the weather like?,Quel temps fait-il?
It is sunny,Il fait ensoleillé
It is raining,Il pleut
It is cold,Il fait froid
It is hot,Il fait chaud
What are you doing?,Que fais-tu?
I am working,Je travaille
I am studying,J'étudie
I am watching TV,Je regarde la télévision
I am playing games,Je joue à des jeux
What is your favorite movie?,Quel est ton film préféré?
I like action movies,J'aime les films d'action
I love comedies,J'adore les comédies
I enjoy dramas,J'apprécie les drames
What is your favorite book?,Quel est ton livre préféré?
I like fiction,J'aime la fiction
I love mysteries,J'adore les mystères
What is your favorite color?,Quelle est ta couleur préférée?
I like blue,J'aime le bleu
I love red,J'adore le rouge
I prefer green,Je préfère le vert
What is your favorite sport?,Quel est ton sport préféré?
I like football,J'aime le football
I enjoy basketball,J'apprécie le basket-ball
I love tennis,J'adore le tennis
What is your favorite music genre?,Quel est ton genre de musique préféré?
I like pop,J'aime la pop
I love rock,J'adore le rock
I enjoy jazz,J'apprécie le jazz
Do you have any pets?,As-tu des animaux de compagnie?
I have a dog,J'ai un chien
I have a cat,J'ai un chat
I want to travel to France,Je veux voyager en France
I want to go to Italy,Je veux aller en Italie
I am learning French,J'apprends le français
I want to speak Spanish,Je veux parler espagnol
What do you like to do?,Qu'aimes-tu faire?
I like to go shopping,J'aime faire du shopping
I enjoy hiking,J'apprécie la randonnée
I love cooking,J'adore cuisiner
What is your dream job?,Quel est ton emploi de rêve?
I want to be a doctor,Je veux être médecin
I want to be an engineer,Je veux être ingénieur
I want to be a teacher,Je veux être enseignant
What is your goal?,Quel est ton objectif?
I want to travel the world,Je veux voyager à travers le monde
I want to learn new languages,Je veux apprendre de nouvelles langues
I want to help others,Je veux aider les autres
What are your plans for today?,Quels sont tes plans pour aujourd'hui?
I plan to go to the gym,Je prévois d'aller à la gym
I plan to meet friends,Je prévois de rencontrer des amis
I plan to relax at home,Je prévois de me détendre à la maison
